1000	121.88
2000	108.78
3000	110.02
4000	101.56
5000	98.89
6000	92.32
7000	85.51
8000	87.28
9000	91.97
10000	101.22
11000	104.29
12000	107.53
13000	117.48
14000	125.31
15000	144.34
16000	164.56
17000	185.83
18000	203.86
19000	222.71
20000	232.31
21000	236.44
22000	249.48
23000	260.43
24000	227.70
25000	204.01
26000	230.82
27000	247.60
28000	216.23
29000	211.33
30000	209.69
31000	193.70
32000	207.91
33000	219.96
34000	216.36
35000	207.55
36000	196.42
37000	203.51
38000	176.31
39000	179.49
40000	176.56
41000	165.59
42000	146.29
43000	128.45
44000	119.51
45000	116.84
46000	129.59
47000	136.37
48000	131.74
49000	138.86
50000	156.57
